Feature_ID;Feature_Name;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Ethnicity;Feature_Type;Feature_Type_Code;Quad;
5768;Surinda Valles;80.07;-28.8;324.89;-28.22;-29.37;325.65;324.12;Planetocentric  +East  0 - 360;Soviet;Vallis;VA;mc19;
5769;Surius Vallis;30.76;-61.2;311.28;-56.23;-64.52;313.78;305.22;Planetocentric  +East  0 - 360;;Vallis;VA;mc26;
5771;Surt;9.85;16.85;329.36;16.93;16.77;329.45;329.27;Planetocentric  +East  0 - 360;Libya;Crater;AA;mc11;
5780;Suzhi;24.63;-27.41;86.1;-27.2;-27.61;86.33;85.86;Planetocentric  +East  0 - 360;China;Crater;AA;mc21;
5785;Swanage;18.68;26.45;326.33;26.61;26.3;326.51;326.16;Planetocentric  +East  0 - 360;England;Crater;AA;mc11;
5793;Syria;0;-19.78;260;-19.78;-19.78;260;260;Planetocentric  +East  0 - 360;Greek;Albedo Feature;AL;mc17;
15315;Syria Colles;630;-13.46;259.27;-8.55;-18.06;263.92;254.78;Planetocentric  +East  0 - 360;Greek;Collis;CO;mc17;
14573;Syria Mons;73.47;-13.88;255.73;-13.27;-14.49;256.28;255.17;Planetocentric  +East  0 - 360;Greek;Mons;MO;mc17;
5794;Syria Planum;735.74;-12.09;256.1;-7.8;-16.84;262.45;249.75;Planetocentric  +East  0 - 360;Latin;Planum;PM;mc17;
5795;Syrtis Major;0;9.88;70;9.88;9.88;70;70;Planetocentric  +East  0 - 360;Latin;Albedo Feature;AL;mc13;
5796;Syrtis Major Planum;1214.86;9.2;67.1;19.41;-1.37;76.64;58.88;Planetocentric  +East  0 - 360;Greek;Planum;PM;mc13;
5797;Sytinskaya;89.16;42.42;306.94;43.17;41.67;307.97;305.93;Planetocentric  +East  0 - 360;Soviet;Crater;AA;mc04;
5811;Tabor;19.11;-35.5;301.67;-35.34;-35.66;301.88;301.48;Planetocentric  +East  0 - 360;Czech Republic;Crater;AA;mc26;
5812;Tabou;7.68;-45.1;324.96;-45.04;-45.17;325.05;324.87;Planetocentric  +East  0 - 360;Ivory Coast;Crater;AA;mc26;
5818;Tader Valles;200;-48.78;207.7;-47.98;-50.21;208.8;205.9;Planetocentric  +East  0 - 360;Spain;Vallis;VA;mc24;
5819;Taejin;28.06;-35.2;85.66;-34.97;-35.44;85.95;85.37;Planetocentric  +East  0 - 360;Republic of Korea;Crater;AA;mc28;
5821;Tagus Valles;144.58;-6.68;114.54;-5.46;-7.86;115.2;114.06;Planetocentric  +East  0 - 360;Spain;Vallis;VA;mc22;
5829;Tak;5.21;-26.02;331.35;-25.98;-26.07;331.4;331.3;Planetocentric  +East  0 - 360;Thailand;Crater;AA;mc19;
5834;Tala;8.51;-20.34;112.79;-20.27;-20.41;112.87;112.72;Planetocentric  +East  0 - 360;Tunisia;Crater;AA;mc22;
15362;Talas;30;-35.67;75.37;-35.41;-35.93;75.68;75.06;Planetocentric  +East  0 - 360;Kyrgyzstan;Crater;AA;mc28;
5840;Talsi;9.59;-41.53;310.63;-41.44;-41.61;310.74;310.53;Planetocentric  +East  0 - 360;Latvia;Crater;AA;mc26;
15526;Taltal;10;-39.51;234.21;-39.43;-39.59;234.32;234.1;Planetocentric  +East  0 - 360;Chile;Crater;AA;mc24;
15485;Talu;10;-40.35;20.09;-40.28;-40.43;20.2;19.98;Planetocentric  +East  0 - 360;Indonesia;Crater;AA;mc27;
5843;Tame;13.8;-22.73;252.01;-22.61;-22.84;252.14;251.88;Planetocentric  +East  0 - 360;Colombia;Crater;AA;mc17;
5849;Tanaica Montes;178.55;39.55;269.17;40.55;38.35;270.74;267.67;Planetocentric  +East  0 - 360;Greek;Mons;MO;mc03;
5850;Tanais;0;49.67;290;49.67;49.67;290;290;Planetocentric  +East  0 - 360;Latin;Albedo Feature;AL;mc03;
5851;Tanais Fossae;172.95;38.74;273.51;40.18;37.31;274.04;273.19;Planetocentric  +East  0 - 360;Greek;Fossa;FO;mc03;
15091;Tana Vallis;56.51;4.78;332.11;5.18;4.51;332.38;331.78;Planetocentric  +East  0 - 360;Kenya;Vallis;VA;mc11;
5859;Tantalus Fluctus;794.34;35.93;264.32;42.99;31.42;268.86;256.17;Planetocentric  +East  0 - 360;Latin;"Fluctus; fluctūs";FL;mc03;
5860;Tantalus Fossae;2361.86;49.83;263.91;67.22;30.08;291.08;251.69;Planetocentric  +East  0 - 360;Latin;Fossa;FO;mc03;
5864;Tara;32.94;-44.01;307.16;-43.74;-44.29;307.56;306.78;Planetocentric  +East  0 - 360;Ireland;Crater;AA;mc26;
5865;Tarakan;39.31;-41.21;329.56;-40.88;-41.54;330;329.12;Planetocentric  +East  0 - 360;Indonesia;Crater;AA;mc26;
5868;Tarata;12.27;-3.78;318.78;-3.68;-3.88;318.89;318.68;Planetocentric  +East  0 - 360;Bolivia;Crater;AA;mc19;
5871;Tarma;9;16.54;109.85;16.61;16.46;109.93;109.78;Planetocentric  +East  0 - 360;Peru;Crater;AA;mc14;
15564;Tarq;35.36;-38.1;171.22;-37.79;-38.39;171.59;170.86;Planetocentric  +East  0 - 360;Iran;Crater;AA;mc29;
15116;Tarrafal;4.89;24.26;340.82;24.3;24.23;340.86;340.77;Planetocentric  +East  0 - 360;Cape Verde;Crater;AA;mc11;
5872;Tarsus;18.55;23.12;319.74;23.27;22.96;319.91;319.57;Planetocentric  +East  0 - 360;Turkey;Crater;AA;mc11;
