id,pdes,name,name_ru,diameter,q,per,class,horizons,begin_time,end_time
a0002163,2163,Korczak,Korczak,24.368,2.551253017,2034.976054,MBA,DES=+2002163,1998-08-10-06-08-38,2000-01-01-00-00-00
a0014962,14962,Masanoriabe,Masanoriabe,24.363,3.122816956,2087.393928,MBA,DES=+2014962,1998-07-28-03-38-12,2000-01-01-00-00-00
a0015651,15651,Tlepolemos,Тлеполемос,24.341,5.083355987,4449.05043,GRK,DES=+2015651,1996-12-14-17-41-52,2000-01-01-00-00-00
a0000897,897,Lysistrata,Lysistrata,24.337,2.300702657,1480.694384,MBA,DES=+2000897,1998-12-26-19-50-02,2000-01-01-00-00-00
a0005576,5576,Albanese,Albanese,24.332,2.557555,1673.970826,MBA,DES=+2005576,1998-11-08-12-10-31,2000-01-01-00-00-00
a0003829,3829,Gunma,Gunma,24.33,2.321125944,1697.953411,MBA,DES=+2003829,1998-11-02-12-16-47,2000-01-01-00-00-00
a0007999,7999,Nesvorny,Nesvorny,24.33,2.784403357,1946.486733,MBA,DES=+2007999,1998-09-01-09-04-47,2000-01-01-00-00-00
a0105808,105808,,,24.314,5.140542509,4373.227568,TJN,DES=+2105808,1997-01-02-16-38-06,2000-01-01-00-00-00
a0002182,2182,Semirot,Semirot,24.313,2.713744359,2022.131074,MBA,DES=+2002182,1998-08-13-11-12-49,2000-01-01-00-00-00
a0001533,1533,Saimaa,Saimaa,24.298,2.896397392,1910.97391,MBA,DES=+2001533,1998-09-10-06-09-24,2000-01-01-00-00-00
a0026369,26369,,,24.286,2.888070689,1843.913347,MBA,DES=+2026369,1998-09-27-00-31-12,2000-01-01-00-00-00
a0002765,2765,Dinant,Dinant,24.284,2.973519368,2039.681196,MBA,DES=+2002765,1998-08-09-01-54-47,2000-01-01-00-00-00
a0013383,13383,,,24.267,4.823427038,4272.399656,GRK,DES=+2013383,1997-01-27-21-36-09,2000-01-01-00-00-00
a0001175,1175,Margo,Margo,24.266,2.994819237,2105.018171,OMB,DES=+2001175,1998-07-23-17-53-28,2000-01-01-00-00-00
a0015102,15102,,,24.261,3.120707886,2130.228268,OMB,DES=+2015102,1998-07-17-10-37-50,2000-01-01-00-00-00
a0001349,1349,Bechuana,Bechuana,24.249,2.542177993,1909.987044,MBA,DES=+2001349,1998-09-10-12-04-40,2000-01-01-00-00-00
a0001406,1406,Komppa,Komppa,24.243,2.439049046,1619.25303,MBA,DES=+2001406,1998-11-22-04-28-55,2000-01-01-00-00-00
