full_name;name_plain;horizons;radius;diameter;end_time;begin_time;class;number;name;name_ru;index;state_index
Saturn XVIII (Pan);pan;618;14.1;28.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;18;Pan;Пан;74;6
Saturn XIX (Ymir);ymir;ymir;9;18;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;19;Ymir;Имир;75;6
Saturn XX (Paaliaq);paaliaq;paaliaq;11;22;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;20;Paaliaq;Палиак;76;6
Saturn XXI (Tarvos);tarvos;tarvos;7.5;15;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;21;Tarvos;Тарвос;77;6
Saturn XXII (Ijiraq);ijiraq;ijiraq;6;12;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;22;Ijiraq;Иджирак;78;6
Saturn XXIII (Suttungr);suttungr;suttungr;3.5;7;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;23;Suttungr;Саттунгр;79;6
Saturn XXIV (Kiviuq);kiviuq;kiviuq;8;16;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;24;Kiviuq;Кивиок;80;6
Saturn XXV (Mundilfari);mundilfari;mundilfari;3.5;7;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;25;Mundilfari;Мундильфари;81;6
Saturn XXVI (Albiorix);albiorix;albiorix;16;32;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;26;Albiorix;Альбиорикс;82;6
Saturn XXVII (Skathi);skathi;skathi;4;8;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;27;Skathi;Скади;83;6
Saturn XXVIII (Erriapus);erriapus;erriapus;5;10;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;28;Erriapus;Эррипо;84;6
Saturn XXIX (Siarnaq);siarnaq;siarnaq;20;40;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;29;Siarnaq;Сиарнак;85;6
Saturn XXX (Thrymr);thrymr;thrymr;3.5;7;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;30;Thrymr;Тримр;86;6
Saturn XXXI (Narvi);narvi;narvi;3.5;7;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;31;Narvi;Нарви;87;6
Saturn XXXII (Methone);methone;methone;1.6;3.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;32;Methone;Мефона;88;6
Saturn XXXIII (Pallene);pallene;pallene;2.5;5;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;33;Pallene;Паллена;89;6
Saturn XXXIV (Polydeuces);polydeuces;polydeuces;1.3;2.6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;34;Polydeuces;Полидевк;90;6
Saturn XXXV (Daphnis);daphnis;daphnis;3.8;7.6;2000-01-01-00-00-00;1991-01-01-00-00-00;Saturn;35;Daphnis;Дафнис;91;6
Saturn XXXVI (Aegir);aegir;aegir;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;36;Aegir;Эгир;92;6
Saturn XXXVII (Bebhionn);bebhionn;bebhionn;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;37;Bebhionn;Бебхионн;93;6
Saturn XXXVIII (Bergelmir);bergelmir;bergelmir;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;38;Bergelmir;Бергельмир;94;6
Saturn XXXIX (Bestla);bestla;bestla;3.5;7;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;39;Bestla;Бестла;95;6
Saturn XL (Farbauti);farbauti;farbauti;2.5;5;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;40;Farbauti;Фарбаути;96;6
Saturn XLI (Fenrir);fenrir;fenrir;2;4;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;41;Fenrir;Фенрир;97;6
Saturn XLII (Fornjot);fornjot;fornjot;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;42;Fornjot;Форньёт;98;6
