Feature_ID;Feature_Name;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Continent;Ethnicity;Feature_Type;Feature_Type_Code;Quad;
8467;Crozier G;4.07;-12.02;49.99;-11.95;-12.08;50.06;49.93;Planetocentric  +East  0 - 360;Europe;Great Britain;Satellite Feature;SF;LAC-79;
8468;Crozier H;10.52;-14.01;49.38;-13.83;-14.18;49.56;49.2;Planetocentric  +East  0 - 360;Europe;Great Britain;Satellite Feature;SF;LAC-79;
8469;Crozier L;8.36;-10;51.5;-9.88;-10.13;51.62;51.37;Planetocentric  +East  0 - 360;Europe;Great Britain;Satellite Feature;SF;LAC-80;
8470;Crozier M;5.92;-8.84;51.36;-8.74;-8.94;51.46;51.26;Planetocentric  +East  0 - 360;Europe;Great Britain;Satellite Feature;SF;LAC-80;
1343;Cruger;45.94;-16.68;293.04;-15.92;-17.43;293.83;292.25;Planetocentric  +East  0 - 360;Europe;Germany;"Crater; craters";AA;LAC-92;
8471;Cruger A;24.89;-16.01;297.15;-15.6;-16.42;297.58;296.72;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-92;
8472;Cruger B;12.95;-17.2;288.22;-16.98;-17.41;288.44;287.99;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-91;
8473;Cruger C;12.12;-16.85;297.97;-16.65;-17.05;298.18;297.76;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-92;
8474;Cruger D;12.51;-15.33;295.35;-15.12;-15.53;295.56;295.13;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-74;
8475;Cruger E;14.85;-17.53;294.66;-17.28;-17.77;294.91;294.4;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-92;
8476;Cruger F;8.47;-14.18;295.53;-14.05;-14.32;295.67;295.38;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-74;
8477;Cruger G;7.94;-17.89;291.93;-17.76;-18.02;292.07;291.79;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-92;
8478;Cruger H;6.9;-18.01;294.65;-17.9;-18.12;294.77;294.53;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-92;
1344;Ctesibius;32.1;0.83;118.75;1.36;0.31;119.28;118.22;Planetocentric  +East  0 - 360;Africa;Egypt;"Crater; craters";AA;LAC-65;
