StarID,ColorIndex,X,Y,Z
81161,0.940,-72.85222,-193.85537,114.02077
81162,1.252,-48.163,-128.169,-41.4684
81163,0.726,-56.81783,-151.21595,-27.92783
81164,1.428,-127.98576,-340.62589,150.31285
81165,0.685,-50.21597,-133.65623,47.19417
81166,0.783,-33.36128,-88.80164,-38.44039
81167,1.338,-33.63149,-89.52308,-111.14936
81168,2.230,-236.07479,-628.63216,-625.11621
81169,1.474,-179.05851,-476.82936,464.96888
81170,0.931,-56.24042,-149.80923,82.81971
81171,1.158,-44.6131,-118.90176,45.11355
81172,0.763,-23.30712,-62.1349,23.56618
81173,0.763,-13.22149,-35.25278,0.02675
81174,1.696,-290.77771,-775.30763,759.48222
81175,0.970,-12.61868,-33.64693,-74.49892
81176,0.588,-32.69672,-87.18603,179.28101
81177,0.563,-8.51169,-22.703,-52.10634
81178,0.433,-23.70078,-63.2228,16.44342
81179,1.667,-88.05116,-234.93108,128.07699
81180,0.015,-54.74201,-146.06686,-221.60832
81181,1.141,-8.56485,-22.87127,124.69567
81182,0.918,-48.69906,-130.1063,390.99117
81183,0.170,-50.24718,-134.26817,23.94913
81184,-0.050,-101.86584,-272.38554,-477.00061
81185,0.650,-47.06602,-125.87496,-35.07716
81186,1.539,-50.02191,-133.7818,-148.70347
81187,0.284,-23.41741,-62.62931,175.67551
81188,0.634,-13.74696,-36.76873,-97.3127
81189,1.274,-37.83917,-101.21369,-213.4411
81190,1.055,-15.53476,-41.55384,65.80855
81191,1.483,-78.54132,-210.10047,-647.16321
81192,1.366,-99.71489,-266.77599,459.42527
81193,0.165,-43.91721,-117.50252,-14.37651
81194,1.178,-58.69359,-157.04642,-211.05509
81195,1.017,-188.46942,-504.31013,278.3164
81196,1.383,-222.24306,-594.75967,203.25696
81197,1.170,-69.97364,-187.26677,-195.0894
81198,1.147,-40.31612,-107.92729,95.23461
81199,1.568,-3281618.39022,-8785897.89072,3469723.18702
81200,0.535,-49.14503,-131.60582,-94.82641
81201,0.449,-37.25174,-99.78212,145.73277
81202,1.331,-41.57748,-111.39127,-98.00475
81203,0.763,-22.08827,-59.18795,-15.19665
81204,1.549,-41.5127,-111.27123,215.78175
81205,0.051,-127.84847,-342.74053,36.71588
81206,0.536,-9.1242,-24.46082,87.16608
81207,1.438,-89.11233,-238.91384,132.48706
81208,0.465,-34.89977,-93.56798,-56.91065
81209,0.720,-23.76488,-63.76088,-34.72539
81210,0.202,-88.73501,-238.10249,-117.88154
81211,0.622,-2384625.47585,-6398815.73635,-7305389.68926
81212,0.730,-19.61991,-52.66493,32.02125
81213,0.501,-49.72221,-133.49046,67.72254
81214,0.613,-24.26573,-65.15423,-2.96442
81215,0.546,-29.30498,-78.69204,-21.99962
81216,,-14.92434,-40.08036,-206.13626
81217,0.440,-27.78003,-74.61932,-33.62208
81218,1.190,-11.63477,-31.25463,-2.92981
81219,0.570,-136.44118,-366.6123,-247.61648
81220,0.509,-17.50845,-47.04591,-58.20827
81221,0.111,-101.24416,-272.12169,76.679
81222,0.880,-8.95651,-24.07951,-38.4622
81223,0.724,-24.78109,-66.63622,50.20075
81224,1.607,-111.89556,-300.97905,-40.29731
81225,-0.053,-53.29609,-143.38231,-144.64566
81226,1.198,-83.27422,-224.06427,-19.19781
81227,0.248,-54.58631,-146.9306,-51.59629
81228,1.200,-1268.63194,-3414.94208,-2718.43715
81229,0.621,-19.98207,-53.80207,12.89423
81230,-0.020,-34.04034,-91.67354,-79.61962
81231,0.700,-6.94828,-18.7124,-31.29579
81232,0.502,-74.11689,-199.61591,-189.28376
81233,0.697,-32.18536,-86.68641,-55.78263
81234,0.886,-113.15635,-304.78067,246.78255
81235,0.991,-48.69237,-131.1508,146.87574
81236,1.540,-55.97366,-150.79519,184.13965
81237,1.274,-40.21288,-108.35919,-2.48461
81238,0.500,-46.42003,-125.08633,-59.77196
81239,1.455,-70.1986,-189.21099,-68.80378
81240,0.139,-73.60159,-198.45155,-107.79675
81241,0.661,-27.2921,-73.62342,-64.84358
81242,1.157,-129.13079,-348.49108,65.41122
81243,0.988,-18.1279,-48.9258,4.95452
81244,1.043,-58.28171,-157.29943,-3.46636
81245,0.773,-36.84645,-99.4615,-77.27874
81246,-0.048,-25.36211,-68.47472,-187.48954
81247,0.435,-94.73765,-255.80682,79.34285
81248,0.511,-30.16692,-81.47388,-65.12345
81249,0.635,-3333427.1733,-9004787.62885,2793217.32766
81250,1.562,-26.30649,-71.06626,86.9536
81251,0.585,-14.05224,-37.97696,-23.2775
81252,1.806,-92.71257,-250.61926,-40.50163
81253,1.438,-104.32237,-282.07564,-55.40912
81254,1.602,-3464966.35668,-9369876.52726,446566.91636
81255,0.852,-1892184.79181,-5116874.16568,-8380765.80547
81256,0.685,-56.20018,-152.00454,2.07809
81257,0.671,-23.29543,-63.00907,-45.91037
81258,1.115,-74.71334,-202.12802,-3.14026
81259,1.408,-59.3084,-160.46929,42.8647
81260,-0.073,-27.69246,-74.94131,-144.07541
81261,0.198,-241.37329,-653.37586,-676.33928
81262,0.698,-37.28555,-100.94405,-11.52216
81263,0.522,-27.69849,-75.00092,-98.13627
81264,1.319,-69.34393,-187.86666,-217.78311
81265,0.658,-17.8383,-48.34476,52.60313
81266,0.532,-41.23245,-111.77565,-48.24166
81267,0.760,-78.30848,-212.31703,-75.82557
81268,0.610,-43.50476,-117.97282,50.00709
81269,1.039,-42.68288,-115.74544,151.42039
81270,1.280,-54.31859,-147.29973,-179.00173
81271,1.234,-426.44963,-1156.9006,286.40709
81272,0.714,-19.52164,-52.96261,100.58449
81273,0.616,-3.94397,-10.70112,-18.43531
81274,0.626,-45.37661,-123.12172,-69.71742
81275,0.716,-22.64832,-61.45557,-60.68116
81276,-0.035,-36.66379,-99.49818,-80.53782
81277,0.435,-27.96884,-75.91407,37.20484
81278,0.754,-169.74336,-460.7954,317.5537
81279,0.462,-70.66314,-191.82681,29.95883
81280,1.101,-57.96539,-157.37118,-92.5944
81281,1.080,-30.00959,-81.48591,403.99608
81282,0.158,-45.54225,-123.69584,104.26808
81283,0.036,-19.06775,-51.79369,-213.23743
81284,1.096,-288.31371,-783.26483,97.6536
81285,0.480,-33.80124,-91.86587,-21.40694
81286,0.759,-14.86365,-40.40231,-46.66869
81287,0.317,-65.15086,-177.10233,70.97811
81288,0.387,-79.13941,-215.14137,120.69397
81289,1.183,-133.7532,-363.64362,175.9284
81290,1.216,-320.55676,-871.6074,283.08974
81291,0.518,-21.17969,-57.59181,154.36358
81292,0.629,-23.73751,-64.55251,18.50712
81293,1.482,-78.56326,-213.69946,-6.98805
81294,0.260,-75.50621,-205.42279,-125.97337
81295,0.810,-63.60755,-173.09128,75.33521
81296,1.015,-57.60425,-156.7712,618.88481
81297,0.407,-70.38245,-191.55084,-142.2471
81298,0.650,-23.7225,-64.58046,-67.96894
81299,1.352,-197.80098,-538.48093,-771.66655
81300,0.628,-28.9132,-78.71619,-118.46008
81301,0.663,-89.54381,-243.7956,-267.90825
81302,1.033,-116.2117,-316.43566,78.062
