id;spkid;full_name;pdes;name;diameter;q;per;class;horizons;begin_time;end_time;;name_ru
a0000166;2000166;166Rhodope;166;Rhodope;52.393;2.116004809;1606.700124;MBA;DES=+2000166;1998-11-25-07-47-58;2000-01-01-00-00-00;;Rhodope
a0000167;2000167;167Urda;167;Urda;39.935;2.745850964;1759.601122;MBA;DES=+2000167;1998-10-18-02-23-36;2000-01-01-00-00-00;;Urda
a0000168;2000168;168Sibylla;168;Sibylla;145.366;3.123991208;2261.986492;OMB;DES=+2000168;1998-06-14-12-04-52;2000-01-01-00-00-00;;Сибилла
a0000169;2000169;169Zelia;169;Zelia;37.517;2.049372347;1322.564127;MBA;DES=+2000169;1999-02-04-08-36-54;2000-01-01-00-00-00;;Zelia
a0000170;2000170;170Maria;170;Maria;33.136;2.391312688;1490.648736;MBA;DES=+2000170;1998-12-24-08-06-28;2000-01-01-00-00-00;;Maria
a0000171;2000171;171Ophelia;171;Ophelia;130.808;2.714941815;2021.575092;MBA;DES=+2000171;1998-08-13-14-32-59;2000-01-01-00-00-00;;Офелия
a0000172;2000172;172Baucis;172;Baucis;62.43;2.108541408;1341.123744;MBA;DES=+2000172;1999-01-30-17-15-27;2000-01-01-00-00-00;;Baucis
a0000173;2000173;173Ino;173;Ino;125.821;2.170739507;1659.576304;MBA;DES=+2000173;1998-11-12-02-32-32;2000-01-01-00-00-00;;Ино
a0000174;2000174;174Phaedra;174;Phaedra;64.849;2.458185027;1768.754865;MBA;DES=+2000174;1998-10-15-19-28-15;2000-01-01-00-00-00;;Phaedra
a0000175;2000175;175Andromache;175;Andromache;94.532;2.440978295;2073.9876;MBA;DES=+2000175;1998-07-31-12-04-28;2000-01-01-00-00-00;;Андромаха
a0000176;2000176;176Iduna;176;Iduna;106.976;2.638372271;2072.306901;MBA;DES=+2000176;1998-07-31-22-09-31;2000-01-01-00-00-00;;Идуна
a0000177;2000177;177Irma;177;Irma;69.049;2.124506092;1687.888652;MBA;DES=+2000177;1998-11-05-00-40-06;2000-01-01-00-00-00;;Ирма
a0000178;2000178;178Belisana;178;Belisana;35.81;2.354400983;1410.053157;MBA;DES=+2000178;1999-01-13-11-40-51;2000-01-01-00-00-00;;Белисана
a0000179;2000179;179Klytaemnestra;179;Klytaemnestra;69.946;2.644399563;1875.305739;MBA;DES=+2000179;1998-09-19-04-09-57;2000-01-01-00-00-00;;Klytaemnestra
a0000180;2000180;180Garumna;180;Garumna;23.44;2.268386483;1640.566762;MBA;DES=+2000180;1998-11-16-20-35-58;2000-01-01-00-00-00;;Garumna
