id;hip;hd;hr;gl;bf;proper;ra;dec;dist;pmra;pmdec;rv;mag;absmag;spect;ci;x;y;z;vx;vy;vz;rarad;decrad;pmrarad;pmdecrad;bayer;flam;con;comp;comp_primary;base;lum;var;var_min;var_max;greek_letters;spect_desig;color;linecolor
112084;112440;215665;8667;;;;22.775521;23.565654;111.9821;56.99;-10.46;-4.3;3.97;-1.276;;1.07;97.414069;-32.34337;44.770388;8.08E-06;2.99E-05;-6.96E-06;5.962617449;0.411298251;2.76E-07;-5.07E-08;Lam;47;Peg;1;112084;;282.0979954;;;;;G;#FFD423;#FFD423
112090;112447;215648;8665;;;;22.778216;12.172888;16.2973;233.06;-492.04;-6;4.2;3.139;;0.502;15.122785;-5.009216;3.436474;7.88E-06;1.68E-05;-3.93E-05;5.963322985;0.212456972;1.13E-06;-2.39E-06;Xi;46;Peg;1;112090;;4.835039206;;;;;F;#d4bf94;#d4bf94
112142;112501;215669;8668;;;;22.788658;-34.161722;109.529;-62.59;27.01;41;6.28;1.082;;1.145;86.111384;-28.262295;-61.504101;3.03E-05;-4.49E-05;-1.17E-05;5.966056745;-0.59623452;-3.03E-07;1.31E-07;;;PsA;1;112142;;32.15140825;;;;;K;#F99220;#F99220
112149;112508;215907;8677;;;;22.789787;58.483031;308.642;7.77;7.61;4;6.33;-1.117;;0.017;153.312431;-50.267754;263.112824;-3.57E-06;1.34E-05;9.44E-06;5.966352374;1.020721447;3.77E-08;3.69E-08;;;Cep;1;112149;;243.6688423;;;;;B;#93C2F1;#93C2F1
112160;112519;216446;8702;;;;22.791378;83.15383;96.0615;23.65;47.21;-31;4.77;-0.143;;1.257;10.882454;-3.563012;95.376284;-2.09E-05;1.84E-05;-2.89E-05;5.966768829;1.451308123;1.15E-07;2.29E-07;;;Cep;1;112160;;99.35735006;;;;;K;#F99220;#F99220
112170;112529;215721;8670;;;;22.792535;-19.613375;77.8816;-102.2;-205.95;23;5.24;0.783;;0.941;69.72795;-22.806749;-26.1427;-1.57E-05;-3.55E-05;-8.11E-05;5.967071839;-0.342317971;-4.95E-07;-9.98E-07;;68;Aqr;1;112170;;42.34479162;;;;;G;#FFD423;#FFD423
112174;112533;215562;;;;;22.793247;-65.560252;226.2443;-30.76;-6.88;0;6.49;-0.283;;1.208;88.972724;-29.083187;-205.972099;-1.70E-05;-2.99E-05;-3.12E-06;5.967258005;-1.144242257;-1.49E-07;-3.34E-08;;;Tuc;1;112174;;113.0316325;;;;;K;#F99220;#F99220
112183;112542;215766;8673;;;;22.795213;-14.056428;97.371;29.03;-9.44;15;5.68;0.738;;-0.016;89.795919;-29.300918;-23.649246;1.74E-05;8.75E-06;-8.05E-06;5.96777288;-0.245330955;1.41E-07;-4.58E-08;Tau-1;69;Aqr;1;112183;;44.13671435;;;;;B;#93C2F1;#93C2F1
112208;112567;215782;8674;;;;22.798943;-25.912028;134.2282;107.02;-115.39;-26;6.31;0.671;;0.913;114.814073;-37.340417;-58.656362;-3.24E-05;8.38E-05;-5.59E-05;5.968749329;-0.452250204;5.19E-07;-5.59E-07;;;PsA;1;112208;;46.94615194;;;;;G;#FFD423;#FFD423
112231;112590;215943;8678;;;;22.803067;37.416688;103.3058;-42.58;-63.48;-25;5.82;0.749;;1.024;78.053731;-25.291959;62.769211;-7.52E-06;-2.00E-05;-4.08E-05;5.969829039;0.653044399;-2.06E-07;-3.08E-07;;;Lac;1;112231;;43.69180634;;;;;G;#FFD423;#FFD423
112244;112603;215682;8669;;;;22.805927;-61.684364;133.1558;73.06;-3.29;-18;6.36;0.738;;1.059;60.098545;-19.423924;-117.223293;4.42E-06;4.81E-05;1.52E-05;5.970577758;-1.076595248;3.54E-07;-1.60E-08;;;Tuc;1;112244;;44.13671435;;;;;K;#F99220;#F99220
112255;112615;215874;8676;;;;22.808391;-10.555478;111.6071;30.86;7.62;-6;6.19;0.952;;0.274;104.422663;-33.675535;-20.445016;1.00E-07;1.75E-05;5.18E-06;5.971222921;-0.184227849;1.50E-07;3.69E-08;;70;Aqr;1;112255;;36.24098559;;6.206;6.166;;A;#f3e8d3;#f3e8d3
112263;112623;215789;8675;;;;22.809239;-51.316864;39.5257;108.47;-65.93;-3;3.49;0.506;;0.083;23.513371;-7.577057;-30.854309;-4.84E-06;2.34E-05;-5.50E-06;5.971444798;-0.895648234;5.26E-07;-3.20E-07;Eps;;Gru;1;112263;;54.65123745;;;;;A;#f3e8d3;#f3e8d3
112276;112635;216102;8683;;;;22.812291;62.93841;180.1802;13.87;-49.67;-27;6.07;-0.209;;1.194;78.041618;-25.079855;160.453496;2.85E-05;3.56E-06;-4.43E-05;5.97224382;1.098482489;6.72E-08;-2.41E-07;;;Cep;1;112276;;105.5844592;;;;;K;#F99220;#F99220
112282;112641;216057;8682;;;;22.813303;54.414892;228.833;13.25;-2.09;-19;6.14;-0.658;;-0.083;126.785704;-40.707482;186.098765;-4.48E-06;1.69E-05;-1.72E-05;5.972508816;0.949719025;6.42E-08;-1.01E-08;;;Lac;1;112282;;159.6614246;;;;;B;#93C2F1;#93C2F1
112309;112670;216172;8687;;;;22.816875;68.570228;63.6943;117.3;67.39;3;6.19;2.169;;0.44;22.164025;-7.093218;59.29089;-6.34E-06;4.01E-05;1.05E-05;5.973443809;1.196776241;5.69E-07;3.27E-07;;;Cep;1;112309;;11.81408252;;;;;F;#d4bf94;#d4bf94
112337;112694;215729;8672;;;;22.821516;-70.347982;105.4852;12.96;32.95;8;6.35;1.234;;0.071;33.80034;-10.772249;-99.34102;1.98E-05;6.60E-07;-2.04E-06;5.974658787;-1.227803905;6.28E-08;1.60E-07;;;Ind;1;112337;;27.95117054;;;;;A;#f3e8d3;#f3e8d3
112357;112716;216032;8679;;;;22.826528;-13.592632;97.371;-12.58;-38.8;1;4.05;-0.892;;1.57;90.21252;-28.620692;-22.883854;-4.95E-06;-4.66E-06;-1.80E-05;5.975971169;-0.237236179;-6.10E-08;-1.88E-07;Tau-2;71;Aqr;1;112357;;198.0614709;;;;;K;#F99220;#F99220
112364;112724;216228;8694;;;;22.82802;66.200408;35.3482;-66.1;-124.74;-12;3.5;0.758;;1.053;13.598133;-4.30834;32.34218;1.05E-05;-1.52E-05;-1.99E-05;5.976361768;1.155415078;-3.20E-07;-6.05E-07;Iot;32;Cep;1;112364;;43.33112852;;;;;K;#F99220;#F99220
112372;112731;216174;8688;;;;22.829521;55.902777;121.8027;83.41;38;-36;5.43;0.002;;1.167;65.101497;-20.597674;100.863027;-2.25E-05;5.88E-05;-1.79E-05;5.976754733;0.975687513;4.04E-07;1.84E-07;;;Lac;1;112372;;86.93606925;;;;;K;#F99220;#F99220
