ID Node1 Node2 Node3 Marker
677 9348 9387 9385 0
678 1023 993 818 0
679 1023 938 993 0
680 818 938 1023 0
681 818 993 938 0
682 6752 6817 7217 0
683 6752 14280 6817 0
684 7217 14280 6752 0
685 7217 6817 14280 0
686 5398 5245 5034 0
687 5398 5142 5245 0
688 5034 5142 5398 0
689 5034 5245 5142 0
690 1474 1088 792 0
691 1474 995 1088 0
692 792 995 1474 0
693 792 1088 995 0
694 6869 6614 6908 0
695 6869 7027 6614 0
696 6908 7027 6869 0
697 6908 6614 7027 0
698 4759 5102 4877 0
699 4759 4924 5102 0
700 4877 4924 4759 0
701 4877 5102 4924 0
702 3361 3372 3311 0
703 3361 3297 3372 0
704 3311 3297 3361 0
705 3311 3372 3297 0
706 10463 10462 10654 0
707 10463 10427 10462 0
708 10654 10427 10463 0
709 10654 10462 10427 0
710 2752 2605 2736 0
711 2752 2344 2605 0
712 2736 2344 2752 0
713 2736 2605 2344 0
714 424 359 337 0
715 424 432 359 0
716 337 432 424 0
717 337 359 432 0
718 4672 5139 5245 0
719 4672 5013 5139 0
720 5245 5013 4672 0
721 5245 5139 5013 0
722 9960 9896 9733 0
723 9960 9721 9896 0
724 9733 9721 9960 0
725 9733 9896 9721 0
726 7444 7534 7584 0
727 7444 7379 7534 0
728 7584 7379 7444 0
729 7584 7534 7379 0
730 9330 9406 9483 0
731 9330 9396 9406 0
732 9483 9396 9330 0
733 9483 9406 9396 0
734 9591 9788 9678 0
735 9591 9882 9788 0
736 9678 9882 9591 0
737 9678 9788 9882 0
738 7153 7131 6904 0
739 7153 7190 7131 0
740 6904 7190 7153 0
741 6904 7131 7190 0
742 9507 9420 9004 0
743 9507 9419 9420 0
744 9004 9419 9507 0
745 9004 9420 9419 0
746 8990 9151 9004 0
747 8990 8826 9151 0
748 9004 8826 8990 0
749 9004 9151 8826 0
750 9217 9187 9004 0
751 9217 8899 9187 0
752 9004 8899 9217 0
753 9004 9187 8899 0
754 11832 11583 11830 0
755 11832 11815 11583 0
756 11830 11815 11832 0
757 11830 11583 11815 0
758 9342 9524 9261 0
759 9342 9279 9524 0
760 9261 9279 9342 0
761 9261 9524 9279 0
762 9199 9043 9003 0
763 9199 9266 9043 0
764 9003 9266 9199 0
765 9003 9043 9266 0
766 2506 2516 2331 0
767 2506 2349 2516 0
768 2331 2349 2506 0
769 2331 2516 2349 0
770 1397 1517 1648 0
771 1397 1839 1517 0
772 1648 1839 1397 0
773 1648 1517 1839 0
774 4231 4435 4253 0
775 4231 4403 4435 0
776 4253 4403 4231 0
777 4253 4435 4403 0
778 10308 10254 10196 0
779 10308 10212 10254 0
780 10196 10212 10308 0
781 10196 10254 10212 0
782 8195 8218 8381 0
783 8195 8265 8218 0
784 8381 8265 8195 0
785 8381 8218 8265 0
786 9088 9030 9682 0
787 9088 8948 9030 0
788 9682 8948 9088 0
789 9682 9030 8948 0
790 13339 13280 13114 0
791 13339 13294 13280 0
792 13114 13294 13339 0
793 13114 13280 13294 0
794 9320 9419 9217 0
795 9320 9437 9419 0
796 9217 9437 9320 0
797 9217 9419 9437 0
798 9177 8960 9255 0
799 9177 9333 8960 0
800 9255 9333 9177 0
801 9255 8960 9333 0
802 9350 9605 9485 0
803 9350 9440 9605 0
804 9485 9440 9350 0
805 9485 9605 9440 0
806 11098 11525 11166 0
807 11098 11828 11525 0
808 11166 11828 11098 0
809 11166 11525 11828 0
810 1312 1404 1610 0
811 1312 1520 1404 0
812 1610 1520 1312 0
813 1610 1404 1520 0
814 10552 10560 10903 0
815 10552 10441 10560 0
816 10903 10441 10552 0
817 10903 10560 10441 0
818 6477 6190 6374 0
819 6477 6200 6190 0
820 6374 6200 6477 0
821 6374 6190 6200 0
822 10200 10203 9757 0
823 10200 9309 10203 0
824 9757 10203 9309 0
825 11981 12569 12229 0
826 11981 12481 12569 0
827 12229 12481 11981 0
828 12229 12569 12481 0
829 8452 7992 9694 0
830 8452 8294 7992 0
831 9694 8294 8452 0
832 9694 7992 8294 0
833 10150 10264 10323 0
834 10150 10028 10264 0
835 10323 10028 10150 0
836 10323 10264 10028 0
837 13255 13219 13319 0
838 13255 13287 13219 0
839 13319 13287 13255 0
840 13319 13219 13287 0
841 10001 10198 9974 0
842 10001 9897 10198 0
843 9974 9897 10001 0
844 9974 10198 9897 0
845 11146 11352 10923 0
846 11146 11406 11352 0
847 10923 11406 11146 0
848 10923 11352 11406 0
849 11247 10727 10838 0
850 11247 11105 10727 0
851 10838 11105 11247 0
852 10838 10727 11105 0
853 5826 5694 5688 0
854 5826 5922 5694 0
855 5688 5922 5826 0
856 5688 5694 5922 0
857 10200 10225 10170 0
858 10200 10356 10225 0
859 10170 10356 10200 0
860 10170 10225 10356 0
861 6586 6560 6419 0
862 6586 6898 6560 0
863 6419 6898 6586 0
864 6419 6560 6898 0
865 4352 4459 4176 0
866 4352 4284 4459 0
867 4176 4284 4352 0
868 4176 4459 4284 0
869 11108 11035 11338 0
870 11108 11276 11035 0
871 11338 11276 11108 0
872 11338 11035 11276 0
873 1376 905 926 0
874 1376 1475 905 0
875 926 1475 1376 0
876 926 905 1475 0
877 11344 11465 11335 0
878 11344 11254 11465 0
879 11335 11254 11344 0
880 11335 11465 11254 0
881 4185 4173 4422 0
882 4185 4649 4173 0
883 4422 4649 4185 0
884 4422 4173 4649 0
885 3406 3708 4098 0
886 3406 3745 3708 0
887 4098 3745 3406 0
888 4098 3708 3745 0
889 11620 11772 11975 0
890 11620 11600 11772 0
891 11975 11600 11620 0
892 11975 11772 11600 0
893 10664 10662 10597 0
894 10664 10486 10662 0
895 10597 10486 10664 0
896 10597 10662 10486 0
897 4789 4103 4770 0
898 4789 3895 4103 0
899 4770 3895 4789 0
900 4770 4103 3895 0
901 10911 10933 10698 0
902 10911 10829 10933 0
903 10698 10829 10911 0
904 10698 10933 10829 0
905 4223 4181 3942 0
906 4223 3948 4181 0
907 3942 3948 4223 0
908 3942 4181 3948 0
909 11029 10915 10918 0
910 11029 10740 10915 0
911 10918 10740 11029 0
912 10918 10915 10740 0
913 5272 5222 5374 0
914 5272 5173 5222 0
915 5374 5173 5272 0
916 5374 5222 5173 0
917 2688 2632 2429 0
918 2688 2581 2632 0
919 2429 2581 2688 0
920 2429 2632 2581 0
921 6331 6498 6414 0
922 6331 6683 6498 0
923 6414 6683 6331 0
924 6414 6498 6683 0
925 5320 5316 5084 0
926 5320 5061 5316 0
927 5084 5061 5320 0
928 5084 5316 5061 0
929 10884 10713 10617 0
930 10884 10681 10713 0
931 10617 10681 10884 0
932 10617 10713 10681 0
933 3776 4065 4101 0
934 3776 3780 4065 0
935 4101 3780 3776 0
936 4101 4065 3780 0
937 6791 6594 6373 0
938 6791 6651 6594 0
939 6373 6651 6791 0
940 6373 6594 6651 0
941 6353 6158 6268 0
942 6353 6172 6158 0
943 6268 6172 6353 0
944 6268 6158 6172 0
945 9527 9944 9969 0
946 9527 9894 9944 0
947 9969 9894 9527 0
948 9969 9944 9894 0
949 6823 6861 6971 0
950 6823 6991 6861 0
951 6971 6991 6823 0
952 6971 6861 6991 0
953 10971 10664 10760 0
954 10971 10725 10664 0
955 10760 10725 10971 0
956 10760 10664 10725 0
957 2850 2216 2829 0
958 2850 3013 2216 0
959 2829 3013 2850 0
960 2829 2216 3013 0
961 9546 8542 8577 0
962 9546 9164 8542 0
963 8577 9164 9546 0
964 8577 8542 9164 0
965 9418 9686 9765 0
966 9418 9849 9686 0
967 9765 9849 9418 0
968 9765 9686 9849 0
969 12437 12125 12440 0
970 12437 12019 12125 0
971 12440 12019 12437 0
972 12440 12125 12019 0
973 9641 9970 9544 0
974 9641 9981 9970 0
975 9544 9981 9641 0
976 9544 9970 9981 0
977 12568 12222 13448 0
978 12568 12930 12222 0
979 13448 12930 12568 0
980 13448 12222 12930 0
981 4924 4877 5106 0
982 4924 5026 4877 0
983 5106 5026 4924 0
984 5106 4877 5026 0
985 9621 9697 9672 0
986 9621 9776 9697 0
987 9672 9776 9621 0
988 9672 9697 9776 0
989 7132 6891 7254 0
990 7132 7157 6891 0
991 7254 7157 7132 0
992 7254 6891 7157 0
993 4009 4164 3979 0
994 4009 3987 4164 0
995 3979 3987 4009 0
996 3979 4164 3987 0
997 679 1193 850 0
998 679 715 1193 0
999 850 715 679 0
1000 850 1193 715 0
1001 12400 12678 12753 0
1002 12640 12678 12400 0
1003 12640 12753 12678 0
1004 9829 9917 9769 0
1005 9829 9905 9917 0
1006 9769 9905 9829 0
1007 9769 9917 9905 0
1008 9394 9107 9061 0
1009 9394 9047 9107 0
1010 9061 9047 9394 0
1011 9061 9107 9047 0
1012 9199 8820 8959 0
1013 9199 9003 8820 0
1014 8959 9003 9199 0
1015 8959 8820 9003 0
1016 6326 6292 6798 0
1017 6326 6699 6292 0
1018 6798 6699 6326 0
1019 6798 6292 6699 0
1020 3111 3031 2679 0
1021 3111 3897 3031 0
1022 2679 3897 3111 0
1023 2679 3031 3897 0
1024 9698 9948 10309 0
1025 9698 10049 9948 0
1026 10309 10049 9698 0
1027 10309 9948 10049 0
1028 10650 10651 10591 0
1029 10650 10567 10651 0
1030 10591 10567 10650 0
1031 10591 10651 10567 0
1032 73 182 14227 0
1033 73 148 182 0
1034 14227 148 73 0
1035 14227 182 148 0
1036 8408 8429 8770 0
1037 8408 8612 8429 0
1038 8770 8612 8408 0
1039 8770 8429 8612 0
1040 4407 4849 4624 0
