ID,Node1,Node2,X,Y,Z
850,214,30623,,,
851,214,56159,,,
852,214,31635,,,
853,214,30697,,,
854,215,18484,,,
855,215,17779,,,
856,215,18611,,,
857,215,18558,,,
858,216,14611,,,
859,216,16306,,,
860,216,16175,,,
861,216,12905,,,
862,217,14981,,,
863,217,14987,,,
864,217,13809,,,
865,217,14531,,,
866,218,50895,,,
867,218,8430,,,
868,218,50925,,,
869,218,50781,,,
870,219,55862,,,
871,219,57603,,,
872,219,57506,,,
873,219,57552,,,
874,220,39544,,,
875,220,37068,,,
876,220,36930,,,
877,220,37043,,,
878,221,11951,,,
879,221,13565,,,
880,221,17780,,,
881,221,17479,,,
882,222,4901,,,
883,222,36761,,,
884,222,36686,,,
885,222,35948,,,
886,223,3464,,,
887,223,36588,,,
888,223,4221,,,
889,223,37112,,,
890,224,10120,,,
891,224,1355,,,
892,224,10035,,,
893,224,344,,,
894,225,7435,,,
895,225,8754,,,
896,225,15849,,,
897,225,15747,,,
898,226,50576,,,
899,226,45573,,,
900,226,51334,,,
901,226,49133,,,
902,227,1275,,,
903,227,18403,,,
904,227,2288,,,
905,227,18412,,,
906,228,71385,,,
907,228,71364,,,
908,228,9245,,,
909,228,71343,,,
910,229,10321,,,
911,229,38017,,,
912,229,43225,,,
913,229,10312,,,
914,230,34262,,,
915,230,34326,,,
916,230,35420,,,
917,230,34341,,,
918,231,18912,,,
919,231,13237,,,
920,231,18932,,,
921,231,17046,,,
922,232,65364,,,
923,232,65392,,,
924,232,65359,,,
925,232,23854,,,
926,233,14265,,,
927,233,13953,,,
928,233,10237,,,
929,233,5279,,,
930,234,22459,,,
931,234,22447,,,
932,234,23520,,,
933,234,3804,,,
934,235,22126,,,
935,235,23005,,,
936,235,23007,,,
937,235,22949,,,
938,236,11309,,,
939,236,78053,,,
940,236,10361,,,
941,236,11349,,,
942,237,4941,,,
943,237,7348,,,
944,237,9761,,,
945,237,9846,,,
946,238,9912,,,
947,238,36144,,,
948,238,36130,,,
949,238,36152,,,
950,239,38679,,,
951,239,38312,,,
952,239,38578,,,
953,239,38706,,,
954,240,46934,,,
955,240,46746,,,
956,240,46967,,,
957,240,46577,,,
958,241,16572,,,
959,241,24664,,,
960,241,16569,,,
961,241,24653,,,
962,242,25863,,,
963,242,17170,,,
964,242,26138,,,
965,242,19039,,,
966,243,12960,,,
967,243,13051,,,
968,243,13134,,,
969,243,12765,,,
970,244,21095,,,
971,244,1609,,,
972,244,13035,,,
973,244,25301,,,
974,245,1678,,,
975,245,12364,,,
976,245,20440,,,
977,245,19125,,,
978,246,78188,,,
979,246,11325,,,
980,246,11126,,,
981,246,10921,,,
982,247,9917,,,
983,247,11371,,,
984,247,530,,,
985,247,10387,,,
986,248,14328,,,
987,248,10960,,,
988,248,1761,,,
989,248,1059,,,
990,249,31796,,,
991,249,31778,,,
992,249,29934,,,
993,249,29827,,,
994,250,21006,,,
995,250,2532,,,
996,250,21181,,,
997,250,2614,,,
998,251,1031,,,
999,251,20385,,,
1000,251,4222,,,
1001,251,11891,,,
1002,252,35153,,,
1003,252,29555,,,
1004,252,40043,,,
1005,252,40012,,,
1006,253,14499,,,
1007,253,75546,,,
1008,253,15985,,,
1009,253,13465,,,
1010,254,20297,,,
1011,254,19193,,,
1012,254,20287,,,
1013,254,20232,,,
1014,255,18204,,,
1015,255,18206,,,
1016,255,11628,,,
1017,255,18092,,,
1018,256,9557,,,
1019,256,13404,,,
1020,256,13438,,,
1021,256,13433,,,
1022,257,3314,,,
1023,257,23887,,,
1024,257,26319,,,
1025,257,24278,,,
1026,258,13481,,,
1027,258,11189,,,
1028,258,11894,,,
1029,258,1693,,,
1030,259,9985,,,
1031,259,10156,,,
1032,259,9951,,,
1033,259,10357,,,
1034,260,26541,,,
1035,260,26538,,,
1036,260,4790,,,
1037,260,26844,,,
1038,261,10189,,,
1039,261,46222,,,
1040,261,46224,,,
1041,261,37289,,,
1042,262,9346,,,
1043,262,62011,,,
1044,262,24174,,,
1045,262,60751,,,
1046,263,17874,,,
1047,263,17878,,,
1048,263,17865,,,
1049,263,14358,,,
1050,264,36926,,,
1051,264,39843,,,
1052,264,38457,,,
1053,264,36808,,,
1054,265,9876,,,
1055,265,10087,,,
1056,265,4504,,,
1057,265,19495,,,
1058,266,3373,,,
1059,266,24321,,,
1060,266,18876,,,
1061,266,19088,,,
1062,267,24513,,,
1063,267,28864,,,
1064,267,4767,,,
1065,267,26772,,,
1066,268,45171,,,
1067,268,44881,,,
1068,268,607,,,
1069,268,5484,,,
1070,269,19234,,,
1071,269,19126,,,
1072,269,2137,,,
1073,269,19154,,,
1074,270,24046,,,
1075,270,24750,,,
1076,270,24460,,,
1077,270,16503,,,
1078,271,36449,,,
1079,271,18570,,,
1080,271,4520,,,
1081,271,289,,,
1082,272,26008,,,
1083,272,2508,,,
1084,272,25971,,,
1085,272,20494,,,
1086,273,48414,,,
1087,273,47699,,,
1088,273,47413,,,
1089,273,48347,,,
1090,274,11246,,,
1091,274,9750,,,
1092,274,11242,,,
1093,274,1076,,,
1094,275,14326,,,
1095,275,14324,,,
1096,275,2261,,,
1097,275,14247,,,
1098,276,78194,,,
1099,276,46191,,,
1100,276,46251,,,
1101,276,43415,,,
1102,277,1100,,,
1103,277,5329,,,
1104,277,359,,,
1105,277,2530,,,
1106,278,54537,,,
1107,278,52872,,,
1108,278,52853,,,
1109,278,54529,,,
1110,279,2923,,,
1111,279,23851,,,
1112,279,62811,,,
1113,280,36435,,,
1114,280,4448,,,
1115,280,19992,,,
1116,280,529,,,
1117,281,10345,,,
1118,281,14424,,,
1119,281,17634,,,
1120,281,9824,,,
1121,282,595,,,
1122,282,12001,,,
1123,282,10100,,,
