ID,Node1,Node2,Marker
1039,3228,3106,0
1040,3228,3270,0
1041,3228,3249,0
1042,3106,3270,0
1043,5865,5764,0
1044,5865,5819,0
1045,5983,5819,0
1046,5983,5764,0
1047,5983,5865,0
1048,5819,5764,0
1049,2452,2403,0
1050,2452,2248,0
1051,2275,2248,0
1052,2275,2403,0
1053,2275,2452,0
1054,2248,2403,0
1055,3458,3198,0
1056,3458,3352,0
1057,3438,3352,0
1058,3438,3198,0
1059,3438,3458,0
1060,3352,3198,0
1061,4666,4599,0
1062,4666,4613,0
1063,4618,4613,0
1064,4618,4599,0
1065,4618,4666,0
1066,4613,4599,0
1067,3401,3703,0
1068,3401,3628,0
1069,3619,3703,0
1070,3619,3401,0
1071,3628,3703,0
1072,388,1047,0
1073,388,1004,0
1074,1034,1004,0
1075,1034,1047,0
1076,1034,388,0
1077,1004,1047,0
1078,4072,4116,0
1079,4072,4021,0
1080,4085,4021,0
1081,4085,4116,0
1082,4085,4072,0
1083,4021,4116,0
1084,3605,3486,0
1085,3605,3744,0
1086,3483,3744,0
1087,3483,3605,0
1088,3744,3486,0
1089,680,564,0
1090,680,719,0
1091,800,719,0
1092,800,564,0
1093,800,680,0
1094,719,564,0
1095,6677,6673,0
1096,6677,4561,0
1097,6670,4561,0
1098,6670,6673,0
1099,6670,6677,0
1100,4561,6673,0
1101,3570,3707,0
1102,3828,3707,0
1103,2691,2414,0
1104,2691,2523,0
1105,2533,2523,0
1106,2533,2414,0
1107,2533,2691,0
1108,2523,2414,0
1109,6422,6708,0
1110,6422,6020,0
1111,5820,6020,0
1112,5820,6708,0
1113,5820,6422,0
1114,6020,6708,0
1115,5569,5521,0
1116,5569,5674,0
1117,5476,5674,0
1118,5476,5521,0
1119,5476,5569,0
1120,5674,5521,0
1121,2366,2331,0
1122,2509,2331,0
1123,2509,2259,0
1124,2509,2366,0
1125,2331,2259,0
1126,6498,6495,0
1127,6498,6474,0
1128,6533,6474,0
1129,6533,6495,0
1130,6533,6498,0
1131,6474,6495,0
1132,2369,2276,0
1133,2369,2239,0
1134,2007,2239,0
1135,2007,2276,0
1136,2007,2369,0
1137,2239,2276,0
1138,1245,1301,0
1139,1245,1174,0
1140,1145,1174,0
1141,1145,1301,0
1142,1145,1245,0
1143,1174,1301,0
1144,3333,3476,0
1145,3333,3563,0
1146,3475,3563,0
1147,3475,3476,0
1148,3475,3333,0
1149,3563,3476,0
1150,2689,2801,0
1151,2689,2880,0
1152,2781,2880,0
1153,2781,2801,0
1154,2880,2801,0
1155,2839,2997,0
1156,2839,3071,0
1157,3032,3071,0
1158,3032,2997,0
1159,3032,2839,0
1160,3071,2997,0
1161,2126,2164,0
1162,2126,2099,0
1163,2038,2099,0
1164,2038,2164,0
1165,2038,2126,0
1166,2099,2164,0
1167,2567,2592,0
1168,2567,2519,0
1169,2690,2519,0
1170,2690,2592,0
1171,2690,2567,0
1172,3126,3184,0
1173,3126,2972,0
1174,2978,2972,0
1175,2978,3184,0
1176,2978,3126,0
1177,2972,3184,0
1178,5576,5809,0
1179,5576,5403,0
1180,6041,5403,0
1181,6041,5809,0
1182,6041,5576,0
1183,5403,5809,0
1184,2413,2498,0
1185,2413,2332,0
1186,2769,2332,0
1187,2769,2498,0
1188,2769,2413,0
1189,2332,2498,0
1190,5342,5296,0
1191,5342,5286,0
1192,5072,5286,0
1193,5072,5296,0
1194,5072,5342,0
1195,5286,5296,0
1196,4459,4535,0
1197,4459,4349,0
1198,4360,4349,0
1199,4360,4535,0
1200,4360,4459,0
1201,4349,4535,0
1202,2167,2084,0
1203,2167,2568,0
1204,2362,2568,0
1205,2362,2084,0
1206,2362,2167,0
1207,2568,2084,1
1208,1191,1356,0
1209,1191,1274,0
1210,1137,1274,0
1211,1137,1356,0
1212,1137,1191,0
1213,1274,1356,0
1214,1647,1773,0
1215,1647,1744,0
1216,1691,1744,0
1217,1691,1773,0
1218,1691,1647,0
1219,2927,3453,0
1220,2927,4422,0
1221,4184,4422,0
1222,4184,3453,0
1223,4184,2927,0
1224,4422,3453,0
1225,942,737,0
1226,942,927,0
1227,823,927,0
1228,823,737,0
1229,823,942,0
1230,927,737,0
1231,2091,2067,0
1232,2091,1992,0
1233,1963,1992,0
1234,1963,2067,0
1235,1963,2091,1
1236,1992,2067,0
1237,3201,3121,0
1238,3263,3121,0
1239,3121,3354,0
1240,4073,4294,0
1241,4073,4195,0
1242,4276,4195,0
1243,4276,4294,0
1244,4276,4073,0
1245,4195,4294,0
1246,931,614,0
1247,931,666,0
1248,693,666,0
1249,693,614,0
1250,693,931,0
1251,666,614,0
1252,2594,2104,0
1253,2594,2488,0
1254,2132,2488,0
1255,2132,2104,0
1256,2132,2594,0
1257,2488,2104,0
1258,5832,5739,0
1259,5832,5750,0
1260,5930,5750,0
1261,5930,5739,0
1262,5930,5832,0
1263,5750,5739,0
1264,4507,4297,0
1265,4507,4492,0
1266,4370,4492,0
1267,4370,4297,0
1268,4370,4507,0
1269,4492,4297,0
1270,4681,4801,0
1271,4681,4714,0
1272,4688,4714,0
1273,4688,4801,0
1274,4688,4681,0
1275,4714,4801,0
1276,4159,4183,0
1277,4159,3950,0
1278,4098,3950,0
1279,4098,4183,0
1280,3950,4183,0
1281,4235,4061,0
1282,4235,4134,0
1283,4089,4134,0
1284,4089,4061,0
