   52 Europa             E. Bowell        6.31  0.18 0.66 302.5 C       0   0   0   0   0   0 50650  944 20000226  52.640049 342.358447 129.045364  7.467665 0.10101951   3.09910524 19990828 4.7E-02  2.7E-04 20000121 5.6E-02 20000309 5.8E-02 20050124 5.8E-02 20050124
   53 Kalypso            E. Bowell        8.81  0.15 0.71 115.4         0   0   0   0   0   0 47373  169 20000226 236.558300 312.361710 143.871033  5.153066 0.20484553   2.61762277 19990908 7.3E-02 -1.1E-05 20000121 1.6E-01 20000912 2.5E-01 20060105 2.5E-01 20060105
   54 Alexandra          E. Bowell        7.66  0.15 0.70 165.8 C       0   0   0   0   0   0 49395  187 20000226 272.559772 344.975550 313.547693 11.827169 0.19941075   2.71012718 19990823 1.1E-01  7.3E-04 20000121 1.7E-01 20000414 2.2E-01 20050628 2.2E-01 20050628
   55 Pandora            E. Bowell        7.8   0.15 0.69  66.7 E?      0   0   0   0   0   0 49509  595 20000226 296.772515   4.734364  10.697835  7.182972 0.14241063   2.75934231 19990827 2.6E-02  1.3E-05 20000121 5.9E-02 20000911 6.3E-02 20051110 6.5E-02 20090819
   56 Melete             E. Bowell        8.31  0.15 0.69 113.2 l       0   0   0   0   0   0 49082  251 20000226  39.446785 102.959069 193.792885  8.076943 0.23416151   2.59764902 19991220 5.5E-02 -7.5E-05 20000121 1.4E-01 20001201 1.4E-01 20030530 1.4E-01 20030530
   57 Mnemosyne          E. Bowell        7.03  0.15 0.83 112.6 S       0   0   0   0   0   0 51142  627 20000226 345.899045 214.020328 199.423290 15.212896 0.12052190   3.15251171 19991230 5.1E-02 -1.8E-04 20000121 8.4E-02 20001228 9.5E-02 20051030 9.4E-02 20051030
   58 Concordia          E. Bowell        8.86  0.15 0.69  93.4 C       0   0  16   0   0   0 49636  219 20000226 183.485399  30.803031 161.479214  5.058595 0.04416834   2.70088686 20000118 7.2E-02 -1.5E-04 20000121 1.8E-01 20001208 1.8E-01 20001208 1.9E-01 20091220
   59 Elpis              E. Bowell        7.93  0.15 0.67 164.8 C       0   0   0   0   0   0 47086  257 20000226  56.105001 210.325756 170.335145  8.644363 0.11948171   2.71248359 20000118 9.5E-02 -6.3E-04 20000121 1.3E-01 20010305 1.4E-01 20030919 1.4E-01 20030919
   60 Echo               E. Bowell        8.21  0.27 0.85  60.2 S       0   0   0   0   0   0 48636  236 20000226 145.635855 270.463215 191.859911  3.600993 0.18216931   2.39404243 19990823 7.3E-02  1.6E-04 20000121 1.4E-01 20000703 2.0E-01 20051224 2.0E-01 20051224
   61 Danae              E. Bowell        7.68  0.15 0.85  82.0 S       0   0   0   0   0   0 48963  131 20000226  10.457418  14.379607 333.959214 18.196043 0.16483865   2.98482701 19991102 1.2E-01 -3.5E-04 20000121 2.2E-01 20001209 2.9E-01 20090707 2.9E-01 20090707
